key,title,attachment_key,filename
NGRUEL8F,Globally Reliable Variation-Aware Sizing of Analog Integrated Circuits via Response Surfaces and Structural Homotopy,Z38AA8UJ,2009_McConaghy et al_Globally Reliable Variation-Aware Sizing.pdf
3UVK4AC6,Robust Analog/RF Circuit Design With Projection-Based Performance Modeling,2D2794FX,2007_Li et al_Robust AnalogRF Circuit Design With Pro.pdf
EI672F73,Variation-aware Analog Circuit Sizing with Classifier Chains,PCWBARZX,2021_Wu et al_Variation-aware Analog Circuit Sizing wi.pdf
B36NIQ6C,An Efficient Batch-Constrained Bayesian Optimization Approach for Analog Circuit Synthesis via Multiobjective Acquisition Ensemble,5I2PV3IG,2022_Zhang et al_An Efficient Batch-Constrained Bayesian.pdf
78QQN75F,Efficient Performance Trade-off Modeling for Analog Circuit based on Bayesian Neural Network,2ZPFY2P6,2019_Gao et al_Efficient Performance Trade-off Modeling.pdf
RRARXM96,An Efficient Bayesian Optimization Approach for Automated Optimization of Analog Circuits,W4NUPLLU,2018_Lyu et al_An Efficient Bayesian Optimization Appro.pdf
CNHZAJ2B,LayoutCopilot: An LLM-Powered Multiagent Collaborative Framework for Interactive Analog Layout Design,D8SRDHXE,2025_Liu et al_LayoutCopilot An LLM-Powered Multiagent.pdf
T44SNH4F,A Large Language Model-based Multi-Agent Framework for Analog Circuits’ Sizing Relationships Extraction,DMIXC7RJ,2025_Liu et al_A Large Language Model-based Multi-Agent.pdf
HVBHDMHW,MenTeR: A fully-automated Multi-agenT workflow for end-to-end RF/Analog Circuits Netlist Design,G4VBZKDQ,2025_Chen et al_MenTeR A fully-automated Multi-agenT wo.pdf
5IC8JC3U,Atelier: An Automated Analog Circuit Design Framework via Multiple Large Language Model-Based Agents,22TNYTML,2026_Shen et al_Atelier An Automated Analog Circuit Des.pdf
SNUF7FTB,Graph Representation Learning for Parasitic Impedance Prediction of the Interconnect,LTNEABXM,2023_Shrestha et al_Graph Representation Learning for Parasi.pdf
7ADWLCKQ,From Global Route to Detailed Route: ML for Fast and Accurate Wire Parasitics and Timing Prediction,EAC7FCSU,2022_Chhabria et al_From Global Route to Detailed Route ML.pdf
9LG8X7YB,TAG,4BLQRYYW,2022_Zhu et al_TAG.pdf
H4WWSQZK,MLParest: Machine Learning based Parasitic Estimation for Custom Circuit Design,AMSVI5RS,2020_Shook et al_MLParest Machine Learning based Parasit.pdf
629X28ST,Pre-Layout Parasitic-Aware Design Optimizing for RF Circuits Using Graph Neural Network,B2CWXXI3,2023_Li et al_Pre-Layout Parasitic-Aware Design Optimi.pdf
J7XMG8TC,Trans-Net: Knowledge-Transferring Analog Circuit Optimizer with a Netlist-Based Circuit Representation,JDV2NRQI,2024_Lee et al_Trans-Net Knowledge-Transferring Analog.pdf
IQYFMWJV,AutoCkt: Deep Reinforcement Learning of Analog Circuit Designs,Y75UVNNW,2020_Settaluri et al_AutoCkt Deep Reinforcement Learning of.pdf
LBYPM4EL,Signal-Division-Aware Analog Circuit Topology Synthesis Aided by Transfer Learning,NEQ8RVBI,2023_Zhao et al_Signal-Division-Aware Analog Circuit Top.pdf
4DR5QQUF,Transfer of Performance Models Across Analog Circuit Topologies with Graph Neural Networks,KZPLH4I8,2022_Wu et al_Transfer of Performance Models Across An.pdf
YAQYZRB6,Transfer Learning for Reuse of Analog Circuit Sizing Models Across Technology Nodes,2L6UBGTH,2022_Wu et al_Transfer Learning for Reuse of Analog Ci.pdf
JKLN42KB,ParaGraph: Layout Parasitics and Device Parameter Prediction using Graph Neural Networks,7ZUZE66L,2020_Ren et al_ParaGraph Layout Parasitics and Device.pdf
D8QADPQI,Universal Symmetry Constraint Extraction for Analog and Mixed-Signal Circuits with Graph Neural Networks,PKQSII25,2021_Chen et al_Universal Symmetry Constraint Extraction.pdf
SCQC22Y6,Edge-weighted Graph Neural Networks for Post-placement Interconnect Capacitance Estimation of Analog Circuits,ZTTG8UQK,2024_Wu et al_Edge-weighted Graph Neural Networks for.pdf
NIL29RNS,GANA: Graph Convolutional Network Based Automated Netlist Annotation for Analog Circuits,EDM875P9,2020_Kunal et al_GANA Graph Convolutional Network Based.pdf
G8XKV5WV,A customized graph neural network model for guiding analog IC placement,YFFGALTQ,2020_Li et al_A customized graph neural network model.pdf
BMKLR8C9,Circuit-GNN: A Graph Neural Network for Transistor-level Modeling of Analog Circuit Hierarchies,92AGGQGL,2023_Wu et al_Circuit-GNN A Graph Neural Network for.pdf
BYHA7227,RobustAnalog: Fast Variation-Aware Analog Circuit Design Via Multi-task RL,JVK3W9SR,2022_Shi et al_RobustAnalog Fast Variation-Aware Analo.pdf
WILWQMIP,RoSE-Opt: Robust and Efficient Analog Circuit Parameter Optimization With Knowledge-Infused Reinforcement Learning,6LHZE9J2,2025_Cao et al_RoSE-Opt Robust and Efficient Analog Ci.pdf
KWVC9B83,Automated Design of Complex Analog Circuits with Multiagent based Reinforcement Learning,4479JFZS,2023_Zhang et al_Automated Design of Complex Analog Circu.pdf
G5HI4RII,Multiagent Based Reinforcement Learning (MA-RL): An Automated Designer for Complex Analog Circuits,YBQUVYU4,2024_Bao et al_Multiagent Based Reinforcement Learning.pdf
T7MKNMHM,Analog Integrated Circuit Topology Synthesis With Deep Reinforcement Learning,CD9FUVDE,2022_Zhao et al_Analog Integrated Circuit Topology Synth.pdf
H7MJDH96,GCN-RL Circuit Designer: Transferable Transistor Sizing with Graph Neural Networks and Reinforcement Learning,222T4HRB,2020_Wang et al_GCN-RL Circuit Designer Transferable Tr.pdf
M9CPG8Z8,Design of SIW Filters in D-band Using Invertible Neural Nets,7QMWHXBX,2020_Yu et al_Design of SIW Filters in D-band Using In.pdf
8LS9UTQL,Deep neural networks via complex network theory: A perspective,E5V7YMBP,2024_Malfa et al_Deep neural networks via complex network.pdf
CP8VVSPV,"A comprehensive survey on artificial intelligence for complex network: Potential, methodology and application",WAQ5P78Z,2025_Ding et al_A comprehensive survey on artificial int.pdf
JN5K6BBM,Automated transformer selection for RFIC design: Accelerating development with a comprehensive database,QC7CFNUV,2025_Torres-Clarke et al_Automated transformer selection for RFIC.pdf
ZNEFKLRX,The Pixelated Metasurface: A Novel Component Design Approach,4S9AAB4X,2025_Arsanjani et al_The Pixelated Metasurface A Novel Compo.pdf
4IX6C572,AI enabling discovery and design of radio and high-frequency wireless chips beyond human intuition,QUXGHYKS,AI_Enabling_Discovery_and_Design_of_Radio_and_High-Frequency_Wireless_Chips_Beyond_Human_Intuition.pdf
ZAVMLBFA,AI-assisted deep-learning-based design of high-efficiency class F power amplifiers,HKVZ5XL3,2025_Zhou et al_AI-assisted deep-learning-based design o.pdf
LBM8QJW4,Design of two stage low noise amplifier at 2.4 - 2.5 GHz frequency using microstrip line matching network method,5T4QIC6S,2019_Maruddani et al_Design of two stage low noise amplifier.pdf
XEQLIQA9,Ultra-low noise and highly linear two-stage low noise amplifier (LNA),M87YIPDY,Cherukumudi et al_Ultra-low noise and highly linear two-st.pdf
WUSEH9V9,Determinantal point processes for machine learning,5MIVRL8A,2012_Kulesza et al_Determinantal point processes for machin.pdf
999FM5HF,On the accuracy of the wyner model in cellular networks,NP659YJI,2010_Xu et al_On the accuracy of the wyner model in ce.pdf
7NXSJFJ8,A novel low-power notch-enhanced active filter for ultrawideband interferer rejected LNA,RI8PZ6RK,2021_Li et al_A novel low-power notch-enhanced active.pdf
8DT55U2X,An X-band CMOS low-noise amplifier with low-power and high-efficiency linearization,6X44KZHI,2024_Li et al_An X-band CMOS low-noise amplifier with.pdf
I2CNL2KJ,Knowledge-Aided Automated Synthesis for Broadband Power Amplifier With Transformer-Coupled Resonators,IDZEHSLT,2024_Huang et al_Knowledge-Aided Automated Synthesis for.pdf
GZQ5W6IQ,An <i>X</i> -band low-phase-noise class-F<sub>23</sub> VCO without manual harmonic tuning based on switched-transformer and wideband common-mode resonance,6C73SN5G,2024_Li et al_An X -band low-phase-noise class-.pdf
9WUPGR5Q,A class-F VCO with ultra-low-power and low-phase-noise by reactivating the common-mode coupling factor in a 1:2 transformer,8RJMZGLK,2026_Song et al_A class-F VCO with ultra-low-power and l.pdf
XYQ348IF,Dual-band dual-polarization horn antenna array based on orthomode transducers with high isolation for satellite communication,4QI4RLAC,2022_Zhang et al_Dual-band dual-polarization horn antenna.pdf
KMKX4XYR,Using drawing to diagnose children's scientific concept learning a study based on several preferences of children's scientific drawing,ZZZKSK2L,Using Drawing to Diagnose Children's Scientific Concept Learning.pdf
ZCLKZFL3,Machine learning approaches for transformer modeling,Q4YWGF2Q,2022_Passos et al_Machine learning approaches for transfor.pdf
YTCN89RC,The next-generation of circuit simulation in RF EDA,ATZ32W5X,The next-generation of circuit simulatio.pdf
PC5XTCSG,AI-Assisted Automatic Design Methods for Antennas and RF Circuits Based on Deep Learning,7H7FTNU6,2024_Cai et al_AI-Assisted Automatic Design Methods for.pdf
XHWK7MUC,Parasitic-aware analog circuit sizing with graph neural networks and bayesian optimization,Y39R7NSD,2021_Liu et al_Parasitic-aware analog circuit sizing wi.pdf
PRJ7L3ES,Comprehensive mapping of continuous/switching circuits in CCM and DCM to machine learning domain using homogeneous graph neural networks,J9S9KAPP,2023_Khamis et al_Comprehensive mapping of continuousswit.pdf
GYJ8JZK3,Optimize gate-all-around devices using wide neural network-enhanced bayesian optimization,4C67LDDV,2025_Shen et al_Optimize gate-all-around devices using w.pdf
PDWUDR92,融合先验知识与机器学习的天线与阵列智能综合技术,DC9J6MJP,2026_陈炜琦_融合先验知识与机器学习的天线与阵列智能综合技术.pdf
I8UMKIGW,GNN-based hierarchical annotation for analog circuits,ZB44JGG5,2023_Kunal et al_GNN-based hierarchical annotation for an.pdf
4E7QK9ZL,"Generative AI for deep reinforcement learning: Framework, analysis, and use cases",2YYFLM7Y,2025_Sun et al_Generative AI for deep reinforcement lea.pdf
9YT9IR6M,Design of an Oversampling High-Speed Serial Link Transceiver: ASIC Data Interface Prototype,IQ3SMTYV,Toivanen et al_Design of an Oversampling High-Speed Ser.pdf
JQBVMXZQ,Ψ-HDL: Physics structure-informed neural networks for hardware description language generation,FY9FETU3,2026_Jurj et al_Ψ-HDL Physics structure-informed neural.pdf
PG3PIJVG,Emerging ML-AI techniques for analog and RF EDA,EVZUE9BW,Wu et al_Emerging ML-AI techniques for analog and.pdf
ZYYR64PB,Machine-learning-based generative optimization method and its application to an antenna decoupling design,JKZQM454,2023_Huang et al_Machine-learning-based generative optimi.pdf
P93J9V5R,Design of tree-shaped decoupling structure based on generative nonadversarial networks for antennas in IoT applications,HRWXFCKA,2026_Li et al_Design of Tree-Shaped Decoupling Structu.pdf
87S3G263,Fully automated design method based on reinforcement learning and surrogate modeling for antenna array decoupling,F4HF6QU3,2023_Wei et al_Fully automated design method based on r.pdf
I6RQMIYP,AI-powered terahertz VLSI testing technology for ensuring hardware security and reliability,HANRFNJH,2021_Akter et al_AI-powered terahertz VLSI testing techno.pdf
JXA3PPLG,Indoor coverage experiment with beam steering and hybrid-DNN demodulator on sub-THz transmission under hardware impairment,3L84T32F,2025_Kuriyama et al_Indoor coverage experiment with beam ste.pdf
LQNHK8EP,Digitally tunable CMOS mixer design for adaptive RF front-ends,CAPVHJZ6,2025_Das et al_Digitally tunable CMOS mixer design for.pdf
UVG5RDP8,An in-field programmable adaptive CMOS LNA for intelligent IoT sensor node applications,XDY2BZCP,2022_Shafiee et al_An in-field programmable adaptive CMOS L.pdf
BSS4KUBE,AI-enabled RF-to-THz IC design space discovery and inverse design flow,436S48NY,2025_Sengupta et al_AI-enabled RF-to-THz IC design space dis.pdf
K2TZ97WT,Deep learning-based device twin model and its testing applications,YS3XDNX3,2025_Yu et al_Deep learning-based device twin model an.pdf
ZRLXQXJB,Filter performances for 5G bands based on SCAW design on POI,DMS7WGCP,2024_Ballandras et al_Filter performances for 5G bands based o.pdf
R9HDD54V,Deep learning-assisted RFIC design with dual-metal-layer passive matching networks: A 15-22 GHz CMOS PA for 6G in 22nm FDX+,BCWUL66K,2025_Chu et al_Deep learning-assisted RFIC design with.pdf
MDZBE6LN,Analysis and design of a CMOS LNA with transformer-based integrated notch filter for <i>ku</i> -band satellite communications,BX4KDJ38,2022_Zhang et al_Analysis and design of a CMOS LNA with t.pdf
7C5VWXUM,A compact <i>E</i> -band load-modulation balanced power amplifier in 65-nm CMOS,8CBVH5VN,2024_Huang et al_A compact E -band load-modulation.pdf
B3ZRBCST,Multiobjective fitness functions with nonlinear switching for antenna optimizations,8JS95F9P,2022_Khan et al_Multiobjective fitness functions with no.pdf
HQ8H4XFQ,A 4.4-mW 19–46-GHz low-noise amplifier with pole-converging gain flattening and triple-resonance input matching,XBKWHDE9,2024_Fu et al_A 4.4-mW 19–46-GHz low-noise amplifier w.pdf
QGC3FK8P,Ultralow noise figure and broadband CMOS LNA with three-winding transformer and large transistor,XPE8A7RN,2024_Kim et al_Ultralow noise figure and broadband CMOS.pdf
VJ3D4VLV,Design and Analysis of a 22.6-to-73.9 GHz Low-Noise Amplifier for 5G NR FR2 and NR-U Multiband/Multistandard Communications,D44TBTM8,2025_Zhao et al_Design and Analysis of a 22.6-to-73.9 GH.pdf
D7894E6Q,A 26-to-39GHz broadband ultra-compact high-linearity switchless hybrid N/PMOS bi-directional PA/LNA front-end for multi-band 5G large-scaled MIMO system,4MDHVB5P,2022_Park et al_A 26-to-39GHz broadband ultra-compact hi.pdf
R7JYJR4M,5.10 a 3.5mW mm-wave low-noise active bandpass filter employing an all-passive interferer-cancellation feedforward path,PW39Q3GG,2025_Gadelkarim et al_5.10 a 3.5mW mm-wave low-noise active ba.pdf
JPTHRC5G,A blocker-tolerant mm-wave low-noise amplifier utilizing doherty active load modulation for linearity enhancement,J4YH3DFN,2025_Yu et al_A blocker-tolerant mm-wave low-noise amp.pdf
WC8Z8MV8,32.4 a 67.8-to-108.2GHz power amplifier with a three-coupled-line-based complementary-gain-boosting technique achieving 442GHz GBW and 23.1% peak PAE,39SRMEPC,2024_Wu et al_32.4 a 67.8-to-108.2GHz power amplifier.pdf
EPUR4AGF,A 10–110 GHz LNA with 19-25.5 dB gain and 4.8-5.3 dB NF for ultra-wideband applications in 90nm SiGe HBT technology,Z2DFIN2W,2021_Kazan et al_A 10–110 GHz LNA with 19-25.5 dB gain an.pdf
EGF5CMGG,"A power-efficient, F-band, 6.5-dB NF, staggered-tuned, inverter-based CMOS LNA for 6G receivers",2A2CV23C,"2024_Hassan et al_A power-efficient, F-band, 6.5-dB NF, st.pdf"
UDJYUQVI,A 300-GHz fundamental oscillator in 65-nm CMOS technology,IW32ZZ9I,2011_Razavi et al_A 300-GHz fundamental oscillator in 65-n.pdf
JSTSQJH3,25.3 AI-enabled design space discovery and end-to-end synthesis for RFICs with reinforcement learning and inverse methods demonstrating mm-wave/sub-THz PAs between 30 and 120GHz,2B2CY7V3,2025_Zhou et al_25.3 AI-enabled design space discovery a.pdf
2R7YKZHP,An inverse-designed passively coupled N-path filter with gm-boosted active HBT switches,WJYH8KCC,2026_Chenna et al_An inverse-designed passively coupled N-.pdf
6H4JHW8Q,"HYDAR: A 390K QPS, 1574K QPS/W hybrid analog/digital compute-in-RRAM accelerator for efficient recommendation system",YASZLGII,"2026_Li et al_HYDAR A 390K QPS, 1574K QPSW hybrid an.pdf"
2V4HC53I,AI-enabled end-to-end design in RFICs with controllable architectural style from ‘classical’ to ‘non-intuitive’ for mm-wave/sub-THz LNAs,LLSEAM2C,2026_Zhou et al_AI-enabled end-to-end design in RFICs wi.pdf
U5P8AG6Q,1016-clause analog k-SAT solver,A32DZJ72,2026_Wormald et al_1016-clause analog k-SAT solver.pdf
JGR7FL5R,13.2 AI-enabled end-to-end design in RFICs with controllable architectural style from ‘classical’ to ‘non-intuitive’ for mm-wave/sub-THz LNAs,XXNYJ36D,2026_Zhou et al_13.2 AI-enabled end-to-end design in RFI.pdf
7JBGW76X,"13.1 HYDAR: A 390K QPS, 1574K QPS/W hybrid analog/digital compute-in-RRAM accelerator for efﬁcient recommendation system",T8Q7I8C2,"2026_Li et al_13.1 HYDAR A 390K QPS, 1574K QPSW hybr.pdf"
YMQJZJ55,A Nonintuitively Frequency-Staggered Wideband mm-Wave Low-Noise Amplifier,IBSNFCDZ,2026_Chenna et al_A Nonintuitively Frequency-Staggered Wid.pdf
433JJ2YR,13.4 an inverse-designed passively coupled N-path filter with gm-boosted active HBT switches,DADIVZR3,2026_Chenna et al_13.4 an inverse-designed passively coupl.pdf
DYDLWPSW,13.3 Medusa: A Quantum-Inspired 200-Variable 1016-Clause Analog k-SAT Solver,B3YDNEF3,2026_Wormald et al_13.3 Medusa A Quantum-Inspired 200-Vari.pdf
ICKXJRA7,Automated neural-network-based model generation algorithms for microwave applications,RULBCC4T,2025_Na et al_Automated neural-network-based model gen.pdf
EFQQBDKF,A comprehensive review of machine learning approaches for semiconductor device modeling and simulation,TR24MAD3,2025_Mamun et al_A comprehensive review of machine learni.pdf
KQ4PKWJF,Cloud removal method for remote sensing images based on SAR-guided conditional diffusion model and style adaptation,R8Y5CU4K,2025_Chen et al_Cloud removal method for remote sensing.pdf
2UKQS26I,Multimodal issues and key technologies in ocean observation data: A review,GQ7EFC4Y,2025_Nie et al_Multimodal issues and key technologies i.pdf
67W8PJZP,"Guest editorial: Special cluster on artificial intelligence in design, optimization and measurement of antennas and periodic structures",GCMBFAJX,2025_Lin et al_Guest editorial Special cluster on arti.pdf
XHXLDDWM,A diffusion model for multi-layered metasurface unit cell synthesis,D8EJBIES,2023_Niu et al_A diffusion model for multi-layered meta.pdf
QTD2FDXX,Multisensor diffusion-driven optical image translation for large-scale applications,8EWWI4PY,2025_Vinholi et al_Multisensor diffusion-driven optical ima.pdf
NZ6RVA2M,"Advancements in speech recognition: A systematic review of deep learning transformer models, trends, innovations, and future directions",U9QFGMX7,2025_Sharrab et al_Advancements in speech recognition A sy.pdf
NCDJWILP,Optimization of antenna array configurations using deep learning,A4LZX85N,2025_Lin Yi Lu et al_Optimization of antenna array configurat.pdf
T8BV5SAD,Adaptive impedance-matching techniques for ControllingLNetworks,2TAF5PB3,2010_van Bezooijen et al_Adaptive impedance-matching techniques f.pdf
S6Q3CA53,Simulation and automated modeling of microwave circuits: State-of-the-art and emerging trends,4DPP47H5,2021_Zhang et al_Simulation and automated modeling of mic.pdf
R4P2HYWA,Multiphysics parametric modeling of microwave components using combined neural networks and transfer function,NEXTKZDA,2020_Zhang et al_Multiphysics parametric modeling of micr.pdf
UJBE34SI,Parametric modeling of EM behaviors of microwave components using combined neural networks and pole-residue transfer functions,E7F7GH42,Feng et al_Parametric modeling of EM behaviors of m.pdf
M9FY7I3I,Parametric modeling of EM behavior of microwave components using combined neural networks and pole-residue-based transfer functions,CQIAIKIM,2016_Feng et al_Parametric modeling of EM behavior of mi.pdf
DAR43TUM,Artificial neural network (ANN) based fast and accurate inductor modeling and design,VTERUFX9,2020_Guillod et al_Artificial neural network (ANN) based fa.pdf
XGLQ4EKS,Bayesian active learning for optimization and uncertainty quantification in protein docking,NAT74LDE,Bayesian active learning for optimizatio.pdf
TITRFAG2,Bayesian-based automated model generation method for neural network modeling of microwave components,MH53RELY,2021_Cui et al_Bayesian-based automated model generatio.pdf
523WB77C,A novel deep-Q-network-based fine-tuning approach for planar bandpass filter design,RPLP2S4Z,2021_Ohira et al_A novel deep-Q-network-based fine-tuning.pdf
UCYV8P49,Inverse design of on-chip interconnect via transfer learning-based deep neural networks,KZJNEDR8,2023_Zhang et al_Inverse design of on-chip interconnect v.pdf
NYG2PGH5,Generative AI for planar substrate integrated waveguide microwave filters: Autonomous circuit synthesis with coupling-controlled topology generation,HAAHX99N,2026_Zhang et al_Generative AI for planar substrate integ.pdf
HVUCJ2YR,Radio‐frequency integrated‐circuit engineering,2IWU36YR,2015_Nguyen et al_Radio‐frequency integrated‐circuit engin.pdf
YVHYY6HW,An efficient high-frequency linear RF amplifier synthesis method based on evolutionary computation and machine learning techniques,Z6Z26MZP,2012_Bo Liu et al_An efficient high-frequency linear RF am.pdf
KNHH4DU4,Machine learning driven inverse design of devices and components for optical communication and sensing systems: A comprehensive review,FKDL6AA5,2026_Khan et al_Machine learning driven inverse design o.pdf
MVLJJ5W8,Algorithmic design of nonintuitive on-chip multilayered passive networks,R46EILWS,2025_Chenna et al_Algorithmic design of nonintuitive on-ch.pdf
P847AD5R,PatternPaint: Practical layout pattern generation using diffusion-based inpainting,K6N7BA7S,2025_Zhou et al_PatternPaint Practical layout pattern g.pdf
Q2J7JVWK,Machine learning-assisted on-chip quadrilateral interleaved transformer automatic synthesis,IEA6KDBK,2023_Wei et al_Machine learning-assisted on-chip quadri.pdf
H7SMP6DP,PCIe 5.0 connector distributed physical-based circuit model with loading resonances for fast SI diagnosis and pathfinding,J3HX8H2W,2025_He et al_PCIe 5.0 connector distributed physical-.pdf
DQ4UK4IK,Review of on-chip inductor structures with magnetic films,LP3DGLT5,2009_Gardner et al_Review of on-chip inductor structures wi.pdf
HA4WTDXT,ASP-DAC 2005 technical program committee,V3UJWVGP,2005_ASP-DAC 2005 technical program committee.pdf
BGSUXGIA,A design methodology for RF/mmWave LNAs in 22 nm FD-SOI with cross-coupling-aware nested inductors and on-chip baluns,UUWTPXA9,2025_Drakakis et al_A design methodology for RFmmWave LNAs.pdf
9IIFY2NX,Neural-network-based automated synthesis of transformer matching circuits for RF amplifier design,I8VD9A8C,2022_Lee et al_Neural-network-based automated synthesis.pdf
JYS7R9PG,Rapid multi-objective inverse design of antenna via deep neural network surrogate-driven evolutionary optimization,M5QRVJPF,2024_Singh et al_Rapid multi-objective inverse design of.pdf
KBZWE6X5,Lene wacher lentz: Secret police investigations on the internet lene WacherLentzSecret police investigations on the InternetOriginal title: politiets hemmelige efterforskning på internettetArticle based PhD dissertationAalborg Universitetsforlag978-87-7210-556-7https://vbn.aau.dk/ws/portalfiles/portal/317174975/PHD_Lene_Wacher_Lentz_E_pdf.pdf: original title: politiets hemmelige efterforskning på internettet. Article based PhD dissertation,QRT6UDIQ,2023_Neumann et al_Lene wacher lentz Secret police investi.pdf
FUFELYDB,Solid-state circuits directions technical committee launches “think impact with ICs” workshop series and “impact community projects” in partnership with EPICS in IEEE [society news],Y3385FIS,2024_Sengupta et al_Solid-state circuits directions technica.pdf
L5CCVH9B,Progression of motivation models in exercise science: Where we have been and where we are heading,4WDHFGV3,2020_Tenenbaum et al_Progression of motivation models in exer.pdf
2Z7XJI8U,A comprehensive review on next-generation modeling and optimization for semiconductor devices,JV8XSVEP,2025_Raut et al_A comprehensive review on next-generatio.pdf
R3NXR745,Environmental impact of generative AI: Carbon and water footprint,SQWEVWHW,2025_Sidorkin et al_Environmental impact of generative AI C.pdf
HSMMNNU4,Physics-guided neural surrogate model with particle swarm-based multi-objective optimization for quasi-coaxial TSV interconnect design,XTNVKWCJ,2025_Liu et al_Physics-guided neural surrogate model wi.pdf
P8ENHEY3,Solution of integral equations by physics-informed neural networks for electromagnetic scattering,EN8JLT58,2024_Zhang et al_Solution of integral equations by physic.pdf
F4M52488,Influence prediction in collaboration networks: An empirical study on arXiv,RHMCHG3A,2025_Lin et al_Influence prediction in collaboration ne.pdf
CFQ3IQ67,Best paper award candidates asia and south pacific design automation conference 1995 (ASP-DAC '95),V6CG886G,1995_Best paper award candidates asia and sou.pdf
FWLUDL5J,Bayesian active learning for radiation pattern sampling over cylindrical surfaces,59NU3RUG,2022_Garbuglia et al_Bayesian active learning for radiation p.pdf
6B2XQGCK,Machine learning-driven synthesis of on-chip 8-shaped inductors,AN3YNWLZ,2025_He et al_Machine learning-driven synthesis of on-.pdf
ZNTTQXXD,Bayesian updating using multi-fidelity active learning kriging models,5A2IHVUD,2025_Prentzas et al_Bayesian updating using multi-fidelity a.pdf
5LSVN24S,Synthesis of optimal on-chip baluns,IADVTAJR,2007_Kapur et al_Synthesis of optimal on-chip baluns.pdf
L3S9ZXEV,"Microwave and RF design (review of ""microwave and RF DES GN"") [book\/software reviews]",5L336VCT,2015_Chu et al_Microwave and RF design (review of micr.pdf
4WR2WFTP,Deep learning assisted end-to-end synthesis of mm-wave passive networks with 3D EM structures: A study on a transformer-based matching network,T22ADHMF,2021_Er et al_Deep learning assisted end-to-end synthe.pdf
CX9ENARE,Analytic design of on-chip spiral inductor with variable line width,9ASG2CXA,2022_Chen et al_Analytic design of on-chip spiral induct.pdf
I4MMWCXE,An Integrated Ultra-Wideband Balun Topology and Its Application in Mixer Design,52IYX5Y7,2025_Zhu et al_An Integrated Ultra-Wideband Balun Topol.pdf
ILTXNHJG,Compact circuit simulation model for on-chip inductor and transformer for RF integrated circuits,JU2NBATK,2007_Hasaneen et al_Compact circuit simulation model for on-.pdf
HL2WQWFK,Dall-EM: Generative AI with diffusion models for new design space discovery and target-to-electromagnetic structure synthesis,UR4IHEE3,2025_Guo et al_Dall-EM Generative AI with diffusion mo.pdf
6Z2T3YS3,Supporting information: MacroSimGNN: efficient and accurate prediction of macromolecule pairwise similarity via graph neural network,TP9FDHE3,Shi et al_Supporting information MacroSimGNN eff.pdf
WLZ45B26,Using drawing to diagnose children's scientific concept learning a study based on several preferences of children's scientific drawing,VI9L3DX8,2023_Zhong et al_Using drawing to diagnose children's sci.pdf
H29GEZEF,Application of reinforcement learning and multi-agent collaboration technology based on alphastar in autocad drawing of building electrical,KEWZ3R98,2024_Yin et al_Application of reinforcement learning an.pdf
KB5ETZHN,Optimization of microwave components using machine learning and rapid sensitivity analysis,V5I8DBJY,2024_Koziel et al_Optimization of microwave components usi.pdf
D89MS2AZ,Causality-aware training of physics-informed neural networks for solving inverse problems,FKAE9IYC,2025_Kim et al_Causality-aware training of physics-info.pdf
GZHLBTAI,Synthesis of integrated passive components for high-frequency RF ICs based on evolutionary computation and machine learning techniques,FUF3RTXM,2011_Liu et al_Synthesis of integrated passive componen.pdf
WZUEQXTB,Multi-fidelity neural architecture search with knowledge distillation,2382GS37,2023_Trofimov et al_Multi-fidelity neural architecture searc.pdf
XDERT677,"Data-driven robust topology optimization using surrogate modeling, model reduction, and machine learning",YH4372FR,2026_Wang et al_Data-driven robust topology optimization.pdf
HURIYU3C,Using drawing to diagnose children's scientific concept learning a study based on several preferences of children's scientific drawing,2F8AY5YQ,2023_Zhong et al_Using drawing to diagnose children's sci.pdf
ZEL2KPZ6,AI-enabled RF-to-terahertz chip design beyond human intuition [invited],JVHAMN4C,2025_Sengupta et al_AI-enabled RF-to-terahertz chip design b.pdf
D537VUYS,Causal and passive parameterization of S-parameters using neural networks,N5AIM4WD,2020_Torun et al_Causal and passive parameterization of S.pdf
IX8Q6NQJ,DeepOTF: Learning equations-constrained prediction for electromagnetic behavior,ZKEMT7WD,2024_Xu et al_DeepOTF Learning Equations-constrained.pdf
T7VM648A,MacroSimGNN: Efficient and accurate prediction of macromolecule pairwise similarity via a graph neural network,ZDUJ5L6G,MacroSimGNN Efficient and accurate pred.pdf
TIZPVHQ3,Surrogate modeling of passive microwave circuits using recurrent neural networks and domain confinement,FECP7X9F,2025_Sahu et al_Surrogate modeling of passive microwave.pdf
NQK672DT,Analysis and design of on-chip spiral inductors and transformers for silicon RF integrated circuits,KRLL3W7H,Yeung et al_Analysis and design of on-chip spiral in.pdf
9YYLBSI3,Characterization and modeling of on-chip interconnects for silicon RFIC design,WLB5MQWZ,EEE-THESES_970.pdf
BEPTBLSP,Design and modeling of compact on-chip transformer/balun using multi-level metal windings for RF integrated circuits,7G682E2F,2001_Tao Liang et al_Design and modeling of compact on-chip t.pdf
CTWQNFPF,RF circuit design,FRP2ZU9Y,2012_Li et al_RF circuit design.pdf
NU8EFHUG,SiP‐system in package design and simulation: Mentor EE flow advanced design guide,54QRUKN5,2017_Li et al_SiP‐system in package design and simulat.pdf
L9EYG2PY,RFIC design methodology: Functional verification,578C5ZGP,2007_Dunham et al_RFIC design methodology Functional veri.pdf
