key,title,doi,status,action_taken
G6XCPP7B,Artificial Neural Network Modeling of Interdigital Capacitor Sensor for Oxygen Detection,10.1109/ICEST49890.2020.9232862,no_pdf,cannot_extract
E9KSS6M6,An Efficient Neural Network Macro-model for Electromagnetic Radiation Spurious Emission from Voltage-Variable Capacitors,10.1109/EMCEUROPE48519.2020.9245803,no_pdf,cannot_extract
P5ETR3IW,Automated E-circuit Designing and Characterization using Prominent Neural Network,10.1109/SCEECS48394.2020.85,no_pdf,cannot_extract
MNIEUGTJ,Design Automation of CMOS Op-Amps Using Statistical Geometric Programming,10.1109/ISCAS48785.2022.9937871,no_pdf,cannot_extract
TQ4PUCKP,An Intelligent Sensing Framework for Post-Manufacturing Performance Measurement and Healing of CSVCO,10.1109/TIM.2022.3225039,no_pdf,cannot_extract
PHST2NPW,System and Component Design for Wireless Distributed Computing,10.1109/RFIT49453.2020.9226252,no_pdf,cannot_extract
236NXRKK,Performance Estimate of Multi-Terminal Dielectric Array Radiator using Machine Learning Techniques,10.1109/GCWCN66157.2025.11448537,no_pdf,cannot_extract
PEQQTPCD,A Neural Network-Based Model of Radio Frequency Energy Harvesting Characteristics in a Self-Powered Food Monitoring System,10.1109/JSEN.2019.2922346,no_pdf,cannot_extract
CSPB5FGV,GCN-RL Circuit Designer: Transferable Transistor Sizing with Graph Neural Networks and Reinforcement Learning,10.1109/DAC18072.2020.9218757,no_pdf,cannot_extract
9G2IMDTV,GCN-RL Circuit Designer: Transferable Transistor Sizing with Graph Neural Networks and Reinforcement Learning,10.1109/DAC18072.2020.9218757,no_pdf,cannot_extract
XPFI8A5E,An Accuracy Improvement of the Neuromorphic Functional Models by Using the Parallel ANN Architecture,10.1109/EWDTS50664.2020.9225034,no_pdf,cannot_extract
VAV6CMXF,A robust calibration and supervised machine learning reliability framework for digitally-assisted self-healing RFICs,10.1109/MWSCAS.2017.8053129,no_pdf,cannot_extract
72W828SW,System Margining Surrogate-Based Optimization in Post-Silicon Validation,10.1109/TMTT.2017.2701368,no_pdf,cannot_extract
3SMB4RRG,Digital Predistortion of RF Power Amplifiers With Decomposed Vector Rotation-Based Recurrent Neural Networks,10.1109/TMTT.2022.3209658,no_pdf,cannot_extract
XBKEW3P9,Machine-Learning Prediction of RF Band-Pass Filter Performance Using Large-Scale Vendor Data,10.1109/ICSPED65817.2026.11448539,updated,abstract_extracted_from_pdf
